epoch,train_loss,train_data_loss,val_loss,train_acc,val_acc,lr
1,1.8430588504246304,1.8430588504246304,1.4541404052428257,0.4292592592592593,0.468641975308642,0.03
2,1.2170557001406554,1.2170557001406554,1.4487411671508978,0.5595767195767196,0.4849382716049383,0.03
3,1.113136464628593,1.113136464628593,1.2216630052637172,0.603915343915344,0.5550617283950617,0.03
4,1.0098546091210905,1.0098546091210905,1.1693458836166948,0.6409523809523809,0.5846913580246914,0.03
5,0.9342017947050629,0.9342017947050629,1.2322930184705758,0.668042328042328,0.5802469135802469,0.03
6,0.8384307327976933,0.8384307327976933,1.3449451832712433,0.7047089947089947,0.5555555555555556,0.027
7,0.8030305764536378,0.8030305764536378,1.6874228896623775,0.7187830687830687,0.4451851851851852,0.027
8,0.7715446146203097,0.7715446146203097,1.233015341464384,0.7310582010582011,0.5898765432098766,0.027
9,0.8409901128496442,0.8409901128496442,1.2343303277757434,0.723015873015873,0.5775308641975309,0.027
10,0.6844531538372948,0.6844531538372948,1.389282731362331,0.7602645502645503,0.5362962962962963,0.027
11,0.5926358846508006,0.5926358846508006,1.3826084571414523,0.7946560846560846,0.5471604938271605,0.024300000000000002
12,0.5748721991518818,0.5748721991518818,1.275039441144025,0.8002116402116403,0.582716049382716,0.024300000000000002
13,0.533661172200763,0.533661172200763,1.2623137196199394,0.817989417989418,0.600246913580247,0.024300000000000002
14,0.4984459758561755,0.4984459758561755,1.5123643759150565,0.8264550264550264,0.5659259259259259,0.024300000000000002
15,0.4741639957983027,0.4741639957983027,1.329843265362728,0.8362962962962963,0.6037037037037037,0.024300000000000002
16,0.4192255721647273,0.4192255721647273,1.5658920261594984,0.8576719576719577,0.5545679012345679,0.02187
17,0.4050578774409319,0.4050578774409319,1.5893364851563065,0.8650793650793651,0.5624691358024692,0.02187
18,0.39649868577245684,0.39649868577245684,1.4954495988068757,0.866031746031746,0.6009876543209877,0.02187
19,0.7941832888820184,0.7941832888820184,1.8240016758294753,0.7795767195767196,0.514320987654321,0.02187
20,0.534485170601537,0.534485170601537,1.561244990443006,0.8122751322751323,0.5595061728395062,0.02187
21,0.37722179872964423,0.37722179872964423,1.3601546936270632,0.8756084656084656,0.6197530864197531,0.019683
22,0.3427560422849403,0.3427560422849403,1.4424002688313708,0.8867195767195767,0.6071604938271605,0.019683
23,0.32151845989088534,0.32151845989088534,1.4847939695546657,0.8937566137566137,0.6140740740740741,0.019683
24,0.3088730440316377,0.3088730440316377,1.4248081988169823,0.8982539682539683,0.6229629629629629,0.019683
25,0.2908354006715553,0.2908354006715553,1.5033660640245603,0.9037566137566138,0.6249382716049383,0.019683
26,0.2656665792509362,0.2656665792509362,1.4501766563933574,0.9123809523809524,0.6241975308641975,0.0177147
27,0.2500478844983237,0.2500478844983237,1.6299584661295385,0.9178306878306879,0.5962962962962963,0.0177147
28,0.24420343282992246,0.24420343282992246,1.8533089177402449,0.9195767195767196,0.5103703703703704,0.0177147
29,0.23855125043758008,0.23855125043758008,1.9962960535214271,0.9198412698412698,0.5350617283950617,0.0177147
30,0.2284915259906224,0.2284915259906224,1.7659374247656927,0.9247619047619048,0.5933333333333334,0.0177147
