epoch,train_loss,train_data_loss,val_loss,train_acc,val_acc,lr
1,1.8452301677494958,1.711062664001707,1.5886938696731756,0.3924338624338624,0.4491358024691358,0.003
2,1.6415410360451346,1.5072049323591605,1.5233596355532422,0.4876190476190476,0.5081481481481481,0.003
3,1.5609346314924746,1.4264247347311998,1.4599138979264248,0.5203703703703704,0.5024691358024691,0.003
4,1.5032446782735789,1.3685633665165573,1.4331717237425439,0.5474603174603174,0.5138271604938272,0.003
5,1.4566026955447127,1.3217464554246772,1.418567307083695,0.5652910052910053,0.5014814814814815,0.003
6,1.416363986186679,1.2813338496193054,1.3899689801534016,0.5807407407407408,0.5313580246913581,0.0027
7,1.3837974486398448,1.2485907702975803,1.364270662554988,0.5928571428571429,0.5479012345679012,0.0027
8,1.3525665466972636,1.2171750492015212,1.3448211771176186,0.6070899470899471,0.548395061728395,0.0027
9,1.3249107006672454,1.1893186775086417,1.3474919164916614,0.6162433862433863,0.5437037037037037,0.0027
10,1.297049338934359,1.1612497006522284,1.3261924233848665,0.6281481481481481,0.5474074074074075,0.0027
11,1.2690825331193425,1.1330732838943522,1.3125529807879601,0.6410582010582011,0.5614814814814815,0.0024300000000000003
12,1.2458794328018472,1.1096605755790832,1.3059730494463886,0.6485714285714286,0.5612345679012346,0.0024300000000000003
13,1.2256725780440636,1.0892332004617762,1.3042633889045245,0.6571428571428571,0.5664197530864198,0.0024300000000000003
14,1.204214529553368,1.0675523665090088,1.3012005339139774,0.6656613756613756,0.5649382716049383,0.0024300000000000003
15,1.1818658635560293,1.0449673085237936,1.3033691503383495,0.6752380952380952,0.5550617283950617,0.0024300000000000003
16,1.1618955944226792,1.0247668239553138,1.2752574131812577,0.6822222222222222,0.5725925925925925,0.002187
17,1.1424709644067355,1.0051148726700474,1.3152727655716885,0.6908994708994709,0.5666666666666667,0.002187
18,1.1267406355453178,0.9891521582527766,1.2759765428966947,0.6978835978835979,0.5634567901234568,0.002187
19,1.109383860922616,0.9715590284362672,1.2527208041556088,0.7053968253968254,0.5708641975308641,0.002187
20,1.0932084377134414,0.9551422963949738,1.282942631274094,0.7097354497354498,0.5691358024691358,0.002187
21,1.0743011974721224,0.9360035327250364,1.249095568480315,0.7174603174603175,0.5750617283950618,0.0019683
22,1.0586047552286373,0.9200801502964484,1.2449133289007492,0.7247619047619047,0.5787654320987654,0.0019683
23,1.0469574925664877,0.908199020781845,1.2606121998068727,0.7267724867724867,0.5728395061728395,0.0019683
24,1.0323285545456093,0.893342652068567,1.2476878462897407,0.7333862433862434,0.577037037037037,0.0019683
25,1.0183654697206284,0.8791419287838003,1.2579050942997874,0.7392063492063492,0.5792592592592593,0.0019683
26,1.0028333381551915,0.8633787788915886,1.2479188355693112,0.7451322751322751,0.5782716049382716,0.0017714700000000002
27,0.9910857076251318,0.8514101159131086,1.2486622036239248,0.7494179894179894,0.5743209876543209,0.0017714700000000002
28,0.9785865666531769,0.8386925576477454,1.2415455403151336,0.7552910052910053,0.5834567901234567,0.0017714700000000002
29,0.9676598738939799,0.8275427561714536,1.2536030415546746,0.7580423280423281,0.5622222222222222,0.0017714700000000002
30,0.9558147169345274,0.8154721627664314,1.2668104614446192,0.7634391534391535,0.56,0.0017714700000000002
