epoch,train_loss,train_data_loss,val_loss,train_acc,val_acc,lr
1,2.0091471204596214,1.495058909068032,1.8138336841559703,0.46544973544973545,0.405679012345679,0.01
2,1.6720858322287857,1.1599102392524638,1.2302934781415964,0.587989417989418,0.5491358024691358,0.01
3,1.5460710450864732,1.0355571018829548,1.4688124636073172,0.6332804232804233,0.5422222222222223,0.01
4,1.4615426871733683,0.9525372755338275,1.1478095866721354,0.6671957671957672,0.5822222222222222,0.01
5,1.3627542736278506,0.855085174406647,1.1141134012775658,0.7063492063492064,0.6046913580246913,0.01
6,1.2892635941445894,0.7827115125000161,1.1004115358988444,0.733015873015873,0.5987654320987654,0.009000000000000001
7,1.265749089706361,0.7601876948750208,1.2203466789810746,0.7528571428571429,0.5706172839506173,0.009000000000000001
8,1.1960356298228678,0.6914745001313548,1.0702085327807769,0.7708994708994709,0.6162962962962963,0.009000000000000001
9,1.1360222005188148,0.6323492095836256,1.2562804703064907,0.7925396825396825,0.5518518518518518,0.009000000000000001
10,1.1091768946229847,0.6063832418123881,1.1441427339153525,0.8005291005291005,0.6118518518518519,0.009000000000000001
11,1.0579758670873496,0.5560065864129041,1.1607421186235216,0.8212169312169312,0.6150617283950617,0.008100000000000001
12,1.0097064625423162,0.5084946855287703,1.1747705399548567,0.8371428571428572,0.5886419753086419,0.008100000000000001
13,0.9912776318487537,0.4908238425961247,1.5052000848157907,0.8429100529100529,0.5459259259259259,0.008100000000000001
14,1.0420006554378531,0.542438448118785,1.119842341888098,0.8346031746031746,0.6301234567901235,0.008100000000000001
15,0.9377839237094053,0.4390155550285622,1.1221250996471923,0.8633333333333333,0.6209876543209877,0.008100000000000001
16,0.8939955468721246,0.3959862969855152,1.1372715149691075,0.8771957671957672,0.6254320987654322,0.007290000000000001
17,0.8797567340660098,0.3824865668791312,1.1586787871666897,0.8828571428571429,0.614567901234568,0.007290000000000001
18,0.8545085001367992,0.3579908080044247,1.1820751700872256,0.8912698412698413,0.6172839506172839,0.007290000000000001
19,0.976236258562582,0.4805816071500223,1.2533370979626974,0.8678306878306878,0.5745679012345679,0.007290000000000001
20,0.830048219596166,0.3353285637545207,1.3596489526607372,0.9003174603174603,0.6079012345679012,0.007290000000000001
21,0.8001002401779821,0.30612956145453074,1.2759942217520726,0.9085185185185185,0.5920987654320987,0.006561
22,0.7878610956234905,0.2946374967678514,1.1976829330420788,0.9132275132275133,0.6367901234567901,0.006561
23,0.7672704620804988,0.2747962723601432,1.1998147049362278,0.9196296296296296,0.6311111111111111,0.006561
24,0.757269698273921,0.26558956022931157,1.2986685398478568,0.9229100529100529,0.6185185185185185,0.006561
25,0.7514984207932913,0.2606246343554643,1.2240796922754358,0.9251322751322751,0.6254320987654322,0.006561
26,0.7285095577024026,0.23843229117216888,1.2165712913760431,0.932962962962963,0.6323456790123457,0.005904900000000001
27,0.7197323921474575,0.2304262567260278,1.2652862272144836,0.9358201058201058,0.6355555555555555,0.005904900000000001
28,0.7163643733519093,0.2278470873328113,1.2877044519966032,0.9355555555555556,0.631358024691358,0.005904900000000001
29,0.7048791602643836,0.21716715103104,1.262317377137549,0.9382539682539682,0.6261728395061729,0.005904900000000001
30,0.6978543338526874,0.210961090868743,1.4346720847671415,0.9413756613756614,0.5962962962962963,0.005904900000000001
