run_id,status,error_message,lr,hidden_dim,hidden_dim2,weight_decay,activation,batch_size,epochs,decay_rate,decay_every,best_val_acc,best_val_loss,best_train_acc,best_train_loss,best_epoch,checkpoint_path,train_log_path,elapsed_seconds
run_029_lr0p01_h128_wd0p001_relu,ok,,0.01,128,128,0.001,relu,64,30,0.9,5,0.6298765432098765,1.2513842191813904,0.9124867724867725,0.5593545799222822,27,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_029_lr0p01_h128_wd0p001_relu\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_029_lr0p01_h128_wd0p001_relu\train_log.csv,405.0496873855591
run_030_lr0p01_h128_wd0p001_tanh,ok,,0.01,128,128,0.001,tanh,64,30,0.9,5,0.5844444444444444,1.3581412649743352,0.8848677248677249,0.5791141989246252,27,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_030_lr0p01_h128_wd0p001_tanh\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_030_lr0p01_h128_wd0p001_tanh\train_log.csv,424.38780903816223
run_031_lr0p01_h256_wd0_relu,ok,,0.01,256,256,0.0,relu,64,30,0.9,5,0.6414814814814814,1.1939764722188313,0.9038624338624338,0.3412111767196151,22,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_031_lr0p01_h256_wd0_relu\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_031_lr0p01_h256_wd0_relu\train_log.csv,523.7156009674072
run_032_lr0p01_h256_wd0_tanh,ok,,0.01,256,256,0.0,tanh,64,30,0.9,5,0.5886419753086419,1.380999211323114,0.8958201058201058,0.38514093024390084,25,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_032_lr0p01_h256_wd0_tanh\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_032_lr0p01_h256_wd0_tanh\train_log.csv,485.91707134246826
run_033_lr0p01_h256_wd0p0001_relu,ok,,0.01,256,256,0.0001,relu,64,30,0.9,5,0.6409876543209877,1.2234288450818003,0.927989417989418,0.2990163597548751,25,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_033_lr0p01_h256_wd0p0001_relu\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_033_lr0p01_h256_wd0p0001_relu\train_log.csv,587.784087896347
run_034_lr0p01_h256_wd0p0001_tanh,ok,,0.01,256,256,0.0001,tanh,64,30,0.9,5,0.5955555555555555,1.3387822526472586,0.906084656084656,0.3848949853886702,26,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_034_lr0p01_h256_wd0p0001_tanh\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_034_lr0p01_h256_wd0p0001_tanh\train_log.csv,606.036416053772
run_035_lr0p01_h256_wd0p001_relu,ok,,0.01,256,256,0.001,relu,64,30,0.9,5,0.6367901234567901,1.1976829330420788,0.9132275132275133,0.7878610956234905,22,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_035_lr0p01_h256_wd0p001_relu\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_035_lr0p01_h256_wd0p001_relu\train_log.csv,680.6594944000244
run_036_lr0p01_h256_wd0p001_tanh,ok,,0.01,256,256,0.001,tanh,64,30,0.9,5,0.5891358024691358,1.2953333490277514,0.8331216931216932,0.8451142121974501,17,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_036_lr0p01_h256_wd0p001_tanh\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_036_lr0p01_h256_wd0p001_tanh\train_log.csv,818.2723326683044
run_037_lr0p03_h64_wd0_relu,ok,,0.03,64,64,0.0,relu,64,30,0.9,5,0.5898765432098766,1.2038197680461553,0.6925925925925925,0.8709029399024115,8,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_037_lr0p03_h64_wd0_relu\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_037_lr0p03_h64_wd0_relu\train_log.csv,541.8007564544678
run_038_lr0p03_h64_wd0_tanh,ok,,0.03,64,64,0.0,tanh,64,30,0.9,5,0.5456790123456791,1.532020182609558,0.774973544973545,0.6957855020250593,20,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_038_lr0p03_h64_wd0_tanh\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_038_lr0p03_h64_wd0_tanh\train_log.csv,524.0389409065247
run_039_lr0p03_h64_wd0p0001_relu,ok,,0.03,64,64,0.0001,relu,64,30,0.9,5,0.6135802469135803,1.4748107016528094,0.8815873015873016,0.3790844303562829,27,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_039_lr0p03_h64_wd0p0001_relu\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_039_lr0p03_h64_wd0p0001_relu\train_log.csv,365.35352897644043
run_040_lr0p03_h64_wd0p0001_tanh,ok,,0.03,64,64,0.0001,tanh,64,30,0.9,5,0.5464197530864198,1.428227606702734,0.7082539682539682,0.9089553833919704,13,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_040_lr0p03_h64_wd0p0001_tanh\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_040_lr0p03_h64_wd0p0001_tanh\train_log.csv,548.0665187835693
run_041_lr0p03_h64_wd0p001_relu,ok,,0.03,64,64,0.001,relu,64,30,0.9,5,0.6064197530864197,1.4049545524738454,0.8623280423280423,0.5622071469051624,26,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_041_lr0p03_h64_wd0p001_relu\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_041_lr0p03_h64_wd0p001_relu\train_log.csv,535.5549733638763
run_042_lr0p03_h64_wd0p001_tanh,ok,,0.03,64,64,0.001,tanh,64,30,0.9,5,0.5461728395061728,1.6190506544230896,0.805026455026455,0.728295751479315,30,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_042_lr0p03_h64_wd0p001_tanh\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_042_lr0p03_h64_wd0p001_tanh\train_log.csv,566.8547220230103
run_043_lr0p03_h128_wd0_relu,ok,,0.03,128,128,0.0,relu,64,30,0.9,5,0.6249382716049383,1.5033660640245603,0.9037566137566138,0.2908354006715553,25,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_043_lr0p03_h128_wd0_relu\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_043_lr0p03_h128_wd0_relu\train_log.csv,403.41512155532837
run_044_lr0p03_h128_wd0_tanh,ok,,0.03,128,128,0.0,tanh,64,30,0.9,5,0.5444444444444444,1.6549067876368393,0.8101058201058201,0.5923739832292789,23,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_044_lr0p03_h128_wd0_tanh\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_044_lr0p03_h128_wd0_tanh\train_log.csv,577.8431034088135
run_045_lr0p03_h128_wd0p0001_relu,ok,,0.03,128,128,0.0001,relu,64,30,0.9,5,0.6190123456790123,1.687958102049651,0.934021164021164,0.2390471852521819,30,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_045_lr0p03_h128_wd0p0001_relu\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_045_lr0p03_h128_wd0p0001_relu\train_log.csv,579.3867619037628
run_046_lr0p03_h128_wd0p0001_tanh,ok,,0.03,128,128,0.0001,tanh,64,30,0.9,5,0.5488888888888889,1.660374847282598,0.8193121693121693,0.5889046379483538,27,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_046_lr0p03_h128_wd0p0001_tanh\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_046_lr0p03_h128_wd0p0001_tanh\train_log.csv,535.6664674282074
run_047_lr0p03_h128_wd0p001_relu,ok,,0.03,128,128,0.001,relu,64,30,0.9,5,0.6217283950617284,1.4331839985317654,0.9238624338624338,0.49622530280562316,27,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_047_lr0p03_h128_wd0p001_relu\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_047_lr0p03_h128_wd0p001_relu\train_log.csv,446.3907299041748
run_048_lr0p03_h128_wd0p001_tanh,ok,,0.03,128,128,0.001,tanh,64,30,0.9,5,0.548395061728395,1.4113837754284895,0.6927513227513228,1.0814024310748789,10,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_048_lr0p03_h128_wd0p001_tanh\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_048_lr0p03_h128_wd0p001_tanh\train_log.csv,438.48548674583435
run_049_lr0p03_h256_wd0_relu,ok,,0.03,256,256,0.0,relu,64,30,0.9,5,0.625679012345679,1.5612929567878628,0.9261904761904762,0.2253879528890842,22,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_049_lr0p03_h256_wd0_relu\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_049_lr0p03_h256_wd0_relu\train_log.csv,489.5993103981018
run_050_lr0p03_h256_wd0_tanh,ok,,0.03,256,256,0.0,tanh,64,30,0.9,5,0.5597530864197531,1.3768185441287948,0.7624338624338625,0.7450344242242278,11,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_050_lr0p03_h256_wd0_tanh\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_050_lr0p03_h256_wd0_tanh\train_log.csv,475.4012975692749
run_051_lr0p03_h256_wd0p0001_relu,ok,,0.03,256,256,0.0001,relu,64,30,0.9,5,0.6195061728395062,1.613364401040254,0.948042328042328,0.21571800054050624,29,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_051_lr0p03_h256_wd0p0001_relu\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_051_lr0p03_h256_wd0p0001_relu\train_log.csv,554.8559865951538
run_052_lr0p03_h256_wd0p0001_tanh,ok,,0.03,256,256,0.0001,tanh,64,30,0.9,5,0.5585185185185185,1.4864938912568268,0.7806878306878307,0.7159482057058342,14,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_052_lr0p03_h256_wd0p0001_tanh\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_052_lr0p03_h256_wd0p0001_tanh\train_log.csv,527.1909449100494
run_053_lr0p03_h256_wd0p001_relu,ok,,0.03,256,256,0.001,relu,64,30,0.9,5,0.6459259259259259,1.4904342720832353,0.9493650793650794,0.5816864613963056,30,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_053_lr0p03_h256_wd0p001_relu\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_053_lr0p03_h256_wd0p001_relu\train_log.csv,588.7345910072327
run_054_lr0p03_h256_wd0p001_tanh,ok,,0.03,256,256,0.001,tanh,64,30,0.9,5,0.5498765432098766,1.7342474353460617,0.8684126984126984,0.6912977730084221,28,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_054_lr0p03_h256_wd0p001_tanh\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_054_lr0p03_h256_wd0p001_tanh\train_log.csv,524.9569869041443
